Date,Quantity
2009-12-01,261.0
2009-12-02,750.0
2009-12-03,359.0
2009-12-04,179.0
2009-12-05,96.0
2009-12-06,206.0
2009-12-07,408.0
2009-12-08,1610.0
2009-12-09,248.0
2009-12-10,271.0
2009-12-11,231.0
2009-12-12,0.0
2009-12-13,404.0
2009-12-14,239.0
2009-12-15,357.0
2009-12-16,178.0
2009-12-17,390.0
2009-12-18,106.0
2009-12-19,0.0
2009-12-20,24.0
2009-12-21,116.0
2009-12-22,12.0
2009-12-23,0.0
2009-12-24,0.0
2009-12-25,0.0
2009-12-26,0.0
2009-12-27,0.0
2009-12-28,0.0
2009-12-29,0.0
2009-12-30,0.0
2009-12-31,0.0
2010-01-01,0.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,37.0
2010-01-05,162.0
2010-01-06,89.0
2010-01-07,1193.0
2010-01-08,214.0
2010-01-09,0.0
2010-01-10,78.0
2010-01-11,34.0
2010-01-12,105.0
2010-01-13,89.0
2010-01-14,374.0
2010-01-15,162.0
2010-01-16,0.0
2010-01-17,157.0
2010-01-18,106.0
2010-01-19,251.0
2010-01-20,244.0
2010-01-21,92.0
2010-01-22,614.0
2010-01-23,0.0
2010-01-24,103.0
2010-01-25,169.0
2010-01-26,219.0
2010-01-27,411.0
2010-01-28,176.0
2010-01-29,137.0
2010-01-30,0.0
2010-01-31,270.0
2010-02-01,106.0
2010-02-02,167.0
2010-02-03,193.0
2010-02-04,190.0
2010-02-05,42.0
2010-02-06,0.0
2010-02-07,29.0
2010-02-08,209.0
2010-02-09,23.0
2010-02-10,54.0
2010-02-11,198.0
2010-02-12,51.0
2010-02-13,0.0
2010-02-14,51.0
2010-02-15,194.0
2010-02-16,139.0
2010-02-17,141.0
2010-02-18,113.0
2010-02-19,45.0
2010-02-20,0.0
2010-02-21,37.0
2010-02-22,104.0
2010-02-23,149.0
2010-02-24,312.0
2010-02-25,196.0
2010-02-26,75.0
2010-02-27,0.0
2010-02-28,93.0
2010-03-01,118.0
2010-03-02,88.0
2010-03-03,214.0
2010-03-04,141.0
2010-03-05,68.0
2010-03-06,0.0
2010-03-07,213.0
2010-03-08,285.0
2010-03-09,166.0
2010-03-10,176.0
2010-03-11,79.0
2010-03-12,100.0
2010-03-13,0.0
2010-03-14,42.0
2010-03-15,98.0
2010-03-16,180.0
2010-03-17,146.0
2010-03-18,167.0
2010-03-19,139.0
2010-03-20,0.0
2010-03-21,766.0
2010-03-22,118.0
2010-03-23,391.0
2010-03-24,78.0
2010-03-25,123.0
2010-03-26,394.0
2010-03-27,0.0
2010-03-28,80.0
2010-03-29,470.0
2010-03-30,87.0
2010-03-31,149.0
2010-04-01,194.0
2010-04-02,0.0
2010-04-03,0.0
2010-04-04,0.0
2010-04-05,0.0
2010-04-06,71.0
2010-04-07,140.0
2010-04-08,128.0
2010-04-09,121.0
2010-04-10,0.0
2010-04-11,449.0
2010-04-12,112.0
2010-04-13,123.0
2010-04-14,42.0
2010-04-15,143.0
2010-04-16,30.0
2010-04-17,0.0
2010-04-18,398.0
2010-04-19,201.0
2010-04-20,70.0
2010-04-21,83.0
2010-04-22,159.0
2010-04-23,128.0
2010-04-24,0.0
2010-04-25,55.0
2010-04-26,180.0
2010-04-27,238.0
2010-04-28,358.0
2010-04-29,185.0
2010-04-30,94.0
2010-05-01,0.0
2010-05-02,65.0
2010-05-03,0.0
2010-05-04,137.0
2010-05-05,187.0
2010-05-06,434.0
2010-05-07,200.0
2010-05-08,0.0
2010-05-09,95.0
2010-05-10,142.0
2010-05-11,72.0
2010-05-12,179.0
2010-05-13,581.0
2010-05-14,59.0
2010-05-15,0.0
2010-05-16,72.0
2010-05-17,103.0
2010-05-18,294.0
2010-05-19,262.0
2010-05-20,219.0
2010-05-21,241.0
2010-05-22,0.0
2010-05-23,139.0
2010-05-24,92.0
2010-05-25,209.0
2010-05-26,184.0
2010-05-27,300.0
2010-05-28,75.0
2010-05-29,0.0
2010-05-30,94.0
2010-05-31,0.0
2010-06-01,29.0
2010-06-02,75.0
2010-06-03,156.0
2010-06-04,92.0
2010-06-05,0.0
2010-06-06,193.0
2010-06-07,609.0
2010-06-08,92.0
2010-06-09,384.0
2010-06-10,130.0
2010-06-11,243.0
2010-06-12,0.0
2010-06-13,131.0
2010-06-14,23.0
2010-06-15,129.0
2010-06-16,148.0
2010-06-17,112.0
2010-06-18,72.0
2010-06-19,0.0
2010-06-20,102.0
2010-06-21,240.0
2010-06-22,90.0
2010-06-23,27.0
2010-06-24,32.0
2010-06-25,139.0
2010-06-26,0.0
2010-06-27,250.0
2010-06-28,568.0
2010-06-29,90.0
2010-06-30,194.0
2010-07-01,295.0
2010-07-02,47.0
2010-07-03,0.0
2010-07-04,15.0
2010-07-05,122.0
2010-07-06,157.0
2010-07-07,136.0
2010-07-08,107.0
2010-07-09,108.0
2010-07-10,0.0
2010-07-11,88.0
2010-07-12,55.0
2010-07-13,759.0
2010-07-14,104.0
2010-07-15,80.0
2010-07-16,175.0
2010-07-17,0.0
2010-07-18,92.0
2010-07-19,127.0
2010-07-20,331.0
2010-07-21,98.0
2010-07-22,126.0
2010-07-23,390.0
2010-07-24,0.0
2010-07-25,87.0
2010-07-26,86.0
2010-07-27,69.0
2010-07-28,113.0
2010-07-29,229.0
2010-07-30,32.0
2010-07-31,0.0
2010-08-01,60.0
2010-08-02,121.0
2010-08-03,76.0
2010-08-04,42.0
2010-08-05,104.0
2010-08-06,92.0
2010-08-07,0.0
2010-08-08,113.0
2010-08-09,75.0
2010-08-10,603.0
2010-08-11,128.0
2010-08-12,199.0
2010-08-13,156.0
2010-08-14,0.0
2010-08-15,57.0
2010-08-16,505.0
2010-08-17,247.0
2010-08-18,262.0
2010-08-19,172.0
2010-08-20,115.0
2010-08-21,0.0
2010-08-22,385.0
2010-08-23,194.0
2010-08-24,189.0
2010-08-25,266.0
2010-08-26,301.0
2010-08-27,51.0
2010-08-28,0.0
2010-08-29,117.0
2010-08-30,0.0
2010-08-31,79.0
2010-09-01,107.0
2010-09-02,417.0
2010-09-03,163.0
2010-09-04,0.0
2010-09-05,101.0
2010-09-06,205.0
2010-09-07,104.0
2010-09-08,71.0
2010-09-09,124.0
2010-09-10,169.0
2010-09-11,0.0
2010-09-12,241.0
2010-09-13,494.0
2010-09-14,247.0
2010-09-15,86.0
2010-09-16,31.0
2010-09-17,131.0
2010-09-18,0.0
2010-09-19,59.0
2010-09-20,109.0
2010-09-21,173.0
2010-09-22,151.0
2010-09-23,300.0
2010-09-24,266.0
2010-09-25,0.0
2010-09-26,86.0
2010-09-27,128.0
2010-09-28,297.0
2010-09-29,110.0
2010-09-30,24.0
2010-10-01,245.0
2010-10-02,0.0
2010-10-03,96.0
2010-10-04,46.0
2010-10-05,349.0
2010-10-06,53.0
2010-10-07,81.0
2010-10-08,368.0
2010-10-09,0.0
2010-10-10,95.0
2010-10-11,192.0
2010-10-12,131.0
2010-10-13,97.0
2010-10-14,363.0
2010-10-15,115.0
2010-10-16,0.0
2010-10-17,101.0
2010-10-18,133.0
2010-10-19,88.0
2010-10-20,93.0
2010-10-21,230.0
2010-10-22,107.0
2010-10-23,0.0
2010-10-24,141.0
2010-10-25,472.0
2010-10-26,75.0
2010-10-27,170.0
2010-10-28,418.0
2010-10-29,170.0
2010-10-30,0.0
2010-10-31,157.0
2010-11-01,97.0
2010-11-02,191.0
2010-11-03,494.0
2010-11-04,252.0
2010-11-05,228.0
2010-11-06,0.0
2010-11-07,105.0
2010-11-08,112.0
2010-11-09,91.0
2010-11-10,924.0
2010-11-11,142.0
2010-11-12,195.0
2010-11-13,0.0
2010-11-14,146.0
2010-11-15,86.0
2010-11-16,143.0
2010-11-17,237.0
2010-11-18,201.0
2010-11-19,85.0
2010-11-20,0.0
2010-11-21,111.0
2010-11-22,245.0
2010-11-23,516.0
2010-11-24,225.0
2010-11-25,896.0
2010-11-26,106.0
2010-11-27,0.0
2010-11-28,127.0
2010-11-29,341.0
2010-11-30,246.0
2010-12-01,908.0
2010-12-02,618.0
2010-12-03,50.0
2010-12-04,0.0
2010-12-05,396.0
2010-12-06,322.0
2010-12-07,662.0
2010-12-08,302.0
2010-12-09,390.0
2010-12-10,165.0
2010-12-11,0.0
2010-12-12,42.0
2010-12-13,337.0
2010-12-14,185.0
2010-12-15,112.0
2010-12-16,790.0
2010-12-17,58.0
2010-12-18,0.0
2010-12-19,42.0
2010-12-20,85.0
2010-12-21,41.0
2010-12-22,25.0
2010-12-23,47.0
2010-12-24,0.0
2010-12-25,0.0
2010-12-26,0.0
2010-12-27,0.0
2010-12-28,0.0
2010-12-29,0.0
2010-12-30,0.0
2010-12-31,0.0
2011-01-01,0.0
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,67.0
2011-01-05,304.0
2011-01-06,171.0
2011-01-07,334.0
2011-01-08,0.0
2011-01-09,97.0
2011-01-10,12.0
2011-01-11,3114.0
2011-01-12,83.0
2011-01-13,8.0
2011-01-14,89.0
2011-01-15,0.0
2011-01-16,23.0
2011-01-17,220.0
2011-01-18,18.0
2011-01-19,271.0
2011-01-20,42.0
2011-01-21,63.0
2011-01-22,0.0
2011-01-23,47.0
2011-01-24,11.0
2011-01-25,92.0
2011-01-26,183.0
2011-01-27,64.0
2011-01-28,68.0
2011-01-29,0.0
2011-01-30,123.0
2011-01-31,29.0
2011-02-01,195.0
2011-02-02,222.0
2011-02-03,63.0
2011-02-04,42.0
2011-02-05,0.0
2011-02-06,35.0
2011-02-07,69.0
2011-02-08,153.0
2011-02-09,14.0
2011-02-10,66.0
2011-02-11,209.0
2011-02-12,0.0
2011-02-13,6.0
2011-02-14,66.0
2011-02-15,12.0
2011-02-16,203.0
2011-02-17,50.0
2011-02-18,6.0
2011-02-19,0.0
2011-02-20,28.0
2011-02-21,23.0
2011-02-22,96.0
2011-02-23,116.0
2011-02-24,99.0
2011-02-25,40.0
2011-02-26,0.0
2011-02-27,27.0
2011-02-28,37.0
2011-03-01,86.0
2011-03-02,33.0
2011-03-03,96.0
2011-03-04,27.0
2011-03-05,0.0
2011-03-06,101.0
2011-03-07,26.0
2011-03-08,145.0
2011-03-09,98.0
2011-03-10,57.0
2011-03-11,125.0
2011-03-12,0.0
2011-03-13,3.0
2011-03-14,19.0
2011-03-15,114.0
2011-03-16,141.0
2011-03-17,87.0
2011-03-18,57.0
2011-03-19,0.0
2011-03-20,47.0
2011-03-21,38.0
2011-03-22,84.0
2011-03-23,83.0
2011-03-24,52.0
2011-03-25,31.0
2011-03-26,0.0
2011-03-27,77.0
2011-03-28,44.0
2011-03-29,185.0
2011-03-30,68.0
2011-03-31,75.0
2011-04-01,133.0
2011-04-02,0.0
2011-04-03,77.0
2011-04-04,66.0
2011-04-05,51.0
2011-04-06,65.0
2011-04-07,50.0
2011-04-08,68.0
2011-04-09,0.0
2011-04-10,74.0
2011-04-11,45.0
2011-04-12,198.0
2011-04-13,73.0
2011-04-14,127.0
2011-04-15,8.0
2011-04-16,0.0
2011-04-17,23.0
2011-04-18,2102.0
2011-04-19,110.0
2011-04-20,73.0
2011-04-21,137.0
2011-04-22,0.0
2011-04-23,0.0
2011-04-24,0.0
2011-04-25,0.0
2011-04-26,179.0
2011-04-27,73.0
2011-04-28,111.0
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,12.0
2011-05-02,0.0
2011-05-03,317.0
2011-05-04,85.0
2011-05-05,421.0
2011-05-06,179.0
2011-05-07,0.0
2011-05-08,142.0
2011-05-09,216.0
2011-05-10,142.0
2011-05-11,120.0
2011-05-12,227.0
2011-05-13,25.0
2011-05-14,0.0
2011-05-15,143.0
2011-05-16,201.0
2011-05-17,156.0
2011-05-18,73.0
2011-05-19,108.0
2011-05-20,92.0
2011-05-21,0.0
2011-05-22,153.0
2011-05-23,113.0
2011-05-24,144.0
2011-05-25,68.0
2011-05-26,653.0
2011-05-27,22.0
2011-05-28,0.0
2011-05-29,26.0
2011-05-30,0.0
2011-05-31,168.0
2011-06-01,29.0
2011-06-02,353.0
2011-06-03,29.0
2011-06-04,0.0
2011-06-05,49.0
2011-06-06,108.0
2011-06-07,56.0
2011-06-08,109.0
2011-06-09,4015.0
2011-06-10,68.0
2011-06-11,0.0
2011-06-12,33.0
2011-06-13,17.0
2011-06-14,50.0
2011-06-15,118.0
2011-06-16,42.0
2011-06-17,15.0
2011-06-18,0.0
2011-06-19,147.0
2011-06-20,29.0
2011-06-21,13.0
2011-06-22,18.0
2011-06-23,106.0
2011-06-24,38.0
2011-06-25,0.0
2011-06-26,32.0
2011-06-27,66.0
2011-06-28,13.0
2011-06-29,77.0
2011-06-30,46.0
2011-07-01,39.0
2011-07-02,0.0
2011-07-03,18.0
2011-07-04,8.0
2011-07-05,134.0
2011-07-06,5.0
2011-07-07,59.0
2011-07-08,32.0
2011-07-09,0.0
2011-07-10,20.0
2011-07-11,81.0
2011-07-12,786.0
2011-07-13,58.0
2011-07-14,224.0
2011-07-15,23.0
2011-07-16,0.0
2011-07-17,23.0
2011-07-18,114.0
2011-07-19,157.0
2011-07-20,104.0
2011-07-21,52.0
2011-07-22,132.0
2011-07-23,0.0
2011-07-24,160.0
2011-07-25,43.0
2011-07-26,8.0
2011-07-27,58.0
2011-07-28,490.0
2011-07-29,74.0
2011-07-30,0.0
2011-07-31,107.0
2011-08-01,61.0
2011-08-02,32.0
2011-08-03,91.0
2011-08-04,130.0
2011-08-05,38.0
2011-08-06,0.0
2011-08-07,89.0
2011-08-08,73.0
2011-08-09,121.0
2011-08-10,132.0
2011-08-11,60.0
2011-08-12,28.0
2011-08-13,0.0
2011-08-14,52.0
2011-08-15,104.0
2011-08-16,87.0
2011-08-17,69.0
2011-08-18,15.0
2011-08-19,6.0
2011-08-20,0.0
2011-08-21,15.0
2011-08-22,420.0
2011-08-23,122.0
2011-08-24,58.0
2011-08-25,107.0
2011-08-26,24.0
2011-08-27,0.0
2011-08-28,42.0
2011-08-29,0.0
2011-08-30,63.0
2011-08-31,37.0
2011-09-01,112.0
2011-09-02,166.0
2011-09-03,0.0
2011-09-04,16.0
2011-09-05,95.0
2011-09-06,184.0
2011-09-07,16.0
2011-09-08,27.0
2011-09-09,29.0
2011-09-10,0.0
2011-09-11,89.0
2011-09-12,117.0
2011-09-13,131.0
2011-09-14,85.0
2011-09-15,144.0
2011-09-16,100.0
2011-09-17,0.0
2011-09-18,81.0
2011-09-19,42.0
2011-09-20,398.0
2011-09-21,11.0
2011-09-22,58.0
2011-09-23,127.0
2011-09-24,0.0
2011-09-25,69.0
2011-09-26,48.0
2011-09-27,17.0
2011-09-28,125.0
2011-09-29,80.0
2011-09-30,111.0
2011-10-01,0.0
2011-10-02,21.0
2011-10-03,23.0
2011-10-04,20.0
2011-10-05,49.0
2011-10-06,13.0
2011-10-07,34.0
2011-10-08,0.0
2011-10-09,26.0
2011-10-10,123.0
2011-10-11,46.0
2011-10-12,25.0
2011-10-13,243.0
2011-10-14,187.0
2011-10-15,0.0
2011-10-16,55.0
2011-10-17,69.0
2011-10-18,21.0
2011-10-19,39.0
2011-10-20,26.0
2011-10-21,13.0
2011-10-22,0.0
2011-10-23,63.0
2011-10-24,76.0
2011-10-25,16.0
2011-10-26,17.0
2011-10-27,117.0
2011-10-28,90.0
2011-10-29,0.0
2011-10-30,128.0
2011-10-31,149.0
2011-11-01,39.0
2011-11-02,80.0
2011-11-03,1265.0
2011-11-04,85.0
2011-11-05,0.0
2011-11-06,86.0
2011-11-07,95.0
2011-11-08,97.0
2011-11-09,113.0
2011-11-10,71.0
2011-11-11,134.0
2011-11-12,0.0
2011-11-13,65.0
2011-11-14,380.0
2011-11-15,457.0
2011-11-16,157.0
2011-11-17,102.0
2011-11-18,125.0
2011-11-19,0.0
2011-11-20,101.0
2011-11-21,36.0
2011-11-22,253.0
2011-11-23,248.0
2011-11-24,131.0
2011-11-25,222.0
2011-11-26,0.0
2011-11-27,8.0
2011-11-28,133.0
2011-11-29,116.0
2011-11-30,311.0
2011-12-01,41.0
2011-12-02,117.0
2011-12-03,0.0
2011-12-04,8.0
2011-12-05,298.0
2011-12-06,39.0
2011-12-07,200.0
2011-12-08,108.0
2011-12-09,4.0
